"","squad_no","country","pos","player","dob","age","caps","goals","club"
"1",1,"US","GK","Alyssa Naeher",1988-04-20,31,43,0,"Chicago Red Stars"
"2",2,"US","FW","Mallory Pugh",1998-04-29,21,50,15,"Washington Spirit"
"3",3,"US","MF","Sam Mewis",1992-10-09,26,47,9,"North Carolina Courage"
"4",4,"US","DF","Becky Sauerbrunn",1985-06-06,34,155,0,"Utah Royals"
"5",5,"US","DF","Kelley O'Hara",1988-08-04,30,115,2,"Utah Royals"
"6",6,"US","MF","Morgan Brian",1993-02-26,26,82,6,"Chicago Red Stars"
"7",7,"US","DF","Abby Dahlkemper",1993-05-13,26,37,0,"North Carolina Courage"
"8",8,"US","MF","Julie Ertz",1992-04-06,27,79,18,"Chicago Red Stars"
"9",9,"US","MF","Lindsey Horan",1994-05-26,25,66,8,"Portland Thorns"
"10",10,"US","FW","Carli Lloyd",1982-07-16,36,271,107,"Sky Blue FC"
"11",11,"US","DF","Ali Krieger",1984-07-28,34,99,1,"Orlando Pride"
"12",12,"US","DF","Tierna Davidson",1998-09-19,20,19,1,"Chicago Red Stars"
"13",13,"US","FW","Alex Morgan",1989-07-02,29,160,101,"Orlando Pride"
"14",14,"US","DF","Emily Sonnett",1993-11-25,25,31,0,"Portland Thorns"
"15",15,"US","FW","Megan Rapinoe",1985-07-05,33,150,44,"Reign FC"
"16",16,"US","MF","Rose Lavelle",1995-05-14,24,24,6,"Washington Spirit"
"17",17,"US","FW","Tobin Heath",1988-05-29,31,147,28,"Portland Thorns"
"18",18,"US","GK","Ashlyn Harris",1985-10-19,33,21,0,"Orlando Pride"
"19",19,"US","DF","Crystal Dunn",1992-07-03,26,83,24,"North Carolina Courage"
"20",20,"US","MF","Allie Long",1987-08-13,31,42,6,"Reign FC"
"21",21,"US","GK","Adrianna Franch",1990-11-12,28,1,0,"Portland Thorns"
"22",22,"US","FW","Jessica McDonald",1988-02-28,31,7,2,"North Carolina Courage"
"23",23,"US","FW","Christen Press",1988-12-29,30,113,47,"Utah Royals"
"24",1,"Thailand","GK","Waraporn Boonsing",1990-02-16,29,87,0,"Bundit Asia"
"25",2,"Thailand","DF","Kanjanaporn Saengkoon",1996-07-18,22,NA,NA,"Bundit Asia"
"26",3,"Thailand","DF","Natthakarn Chinwong",1992-03-15,27,11,0,"Bundit Asia"
"27",4,"Thailand","DF","Duangnapa Sritala",1986-02-04,33,25,2,"Bangkok"
"28",5,"Thailand","DF","Ainon Phancha",1992-01-26,27,7,3,"Chonburi Sriprathum"
"29",6,"Thailand","MF","Pikul Khueanpet",1988-09-20,30,44,0,"Bundit Asia"
"30",7,"Thailand","MF","Silawan Intamee",1994-01-22,25,14,0,"Chonburi Sriprathum"
"31",8,"Thailand","FW","Suchawadee Nildhamrong",1997-04-01,22,17,12,"California Golden Bears"
"32",9,"Thailand","DF","Warunee Phetwiset",1990-12-13,28,44,0,"Chonburi Sriprathum"
"33",10,"Thailand","DF","Sunisa Srangthaisong",1988-05-06,31,27,2,"Bundit Asia"
"34",11,"Thailand","MF","Sudarat Chucheun",1997-06-19,21,NA,NA,"Sisaket"
"35",12,"Thailand","MF","Rattikan Thongsombut",1991-07-07,27,21,3,"Bundit Asia"
"36",13,"Thailand","FW","Orathai Srimanee",1988-06-12,30,8,2,"Bundit Asia"
"37",14,"Thailand","FW","Saowalak Pengngam",1996-11-30,22,NA,NA,"Chonburi Sriprathum"
"38",15,"Thailand","MF","Orapin Waenngoen",1995-10-07,23,NA,NA,"Bundit Asia"
"39",16,"Thailand","DF","Khwanrudi Saengchan",1991-05-16,28,20,0,"Bundit Asia"
"40",17,"Thailand","FW","Taneekarn Dangda",1992-12-15,26,16,9,"Bangkok"
"41",18,"Thailand","GK","Sukanya Chor Charoenying",1987-11-24,31,8,0,"Air Force United"
"42",19,"Thailand","DF","Pitsamai Sornsai",1989-01-19,30,NA,NA,"Chonburi Sriprathum"
"43",20,"Thailand","MF","Wilaiporn Boothduang",1987-06-25,31,46,11,"Bangkok"
"44",21,"Thailand","MF","Kanjana Sungngoen",1986-09-21,32,47,30,"Bangkok"
"45",22,"Thailand","GK","Tiffany Sornpao",1998-05-22,21,1,0,"Kennesaw State Owls"
"46",23,"Thailand","DF","Phornphirun Philawan",1999-04-08,20,NA,NA,"Bundit Asia"
"47",1,"Sweden","GK","Hedvig Lindahl",1983-04-29,36,157,0,"Chelsea"
"48",2,"Sweden","DF","Jonna Andersson",1993-01-02,26,40,0,"Chelsea"
"49",3,"Sweden","DF","Linda Sembrant",1987-05-15,32,109,8,"Montpellier"
"50",4,"Sweden","DF","Hanna Glas",1993-04-16,26,21,0,"Paris Saint-Germain"
"51",5,"Sweden","DF","Nilla Fischer",1984-08-02,34,175,23,"Wolfsburg"
"52",6,"Sweden","DF","Magdalena Eriksson",1993-09-08,25,48,5,"Chelsea"
"53",7,"Sweden","FW","Madelen Janogy",1995-11-12,23,3,0,"Piteå"
"54",8,"Sweden","MF","Lina Hurtig",1995-09-15,23,17,3,"Linköping"
"55",9,"Sweden","MF","Kosovare Asllani",1989-07-29,29,126,32,"Linköping"
"56",10,"Sweden","FW","Sofia Jakobsson",1990-04-23,29,100,17,"Montpellier"
"57",11,"Sweden","FW","Stina Blackstenius",1996-02-05,23,43,10,"Linköping"
"58",12,"Sweden","GK","Jennifer Falk",1993-04-26,26,0,0,"Kopparbergs/Göteborg"
"59",13,"Sweden","DF","Amanda Ilestedt",1993-01-17,26,25,2,"Turbine Potsdam"
"60",14,"Sweden","MF","Julia Roddar",1992-02-16,27,6,0,"Kopparbergs/Göteborg"
"61",15,"Sweden","DF","Nathalie Björn",1997-05-04,22,8,2,"Rosengård"
"62",16,"Sweden","FW","Julia Zigiotti Olme",1997-12-24,21,6,0,"Kopparbergs/Göteborg"
"63",17,"Sweden","MF","Caroline Seger",1985-03-19,34,193,27,"Rosengård"
"64",18,"Sweden","FW","Fridolina Rolfö",1993-11-24,25,34,8,"Bayern Munich"
"65",19,"Sweden","MF","Anna Anvegård",1997-05-10,22,8,1,"Växjö"
"66",20,"Sweden","FW","Mimmi Larsson",1994-04-09,25,20,6,"Linköping"
"67",21,"Sweden","GK","Zecira Mušovic",1996-05-26,23,2,0,"Rosengård"
"68",22,"Sweden","FW","Olivia Schough",1991-03-11,28,72,9,"Djurgården"
"69",23,"Sweden","MF","Elin Rubensson",1993-05-11,26,62,2,"Kopparbergs/Göteborg"
"70",1,"Chile","GK","Christiane Endler",1991-07-23,27,20,0,"Paris Saint-Germain"
"71",2,"Chile","DF","Rocío Soto",1993-09-21,25,13,1,"Zaragoza"
"72",3,"Chile","DF","Carla Guerrero",1987-12-23,31,14,4,"Rayo Vallecano"
"73",4,"Chile","MF","Francisca Lara",1990-07-29,28,22,9,"Sevilla"
"74",5,"Chile","DF","Valentina Díaz",2001-03-30,18,2,0,"Colo-Colo"
"75",6,"Chile","MF","Claudia Soto",1993-07-06,25,15,0,"Santos"
"76",7,"Chile","FW","María José Rojas",1987-12-17,31,20,12,"Slavia Praha"
"77",8,"Chile","MF","Karen Araya",1990-10-16,28,20,6,"Sevilla"
"78",9,"Chile","FW","María José Urrutia",1993-12-17,25,6,0,"3B da Amazônia [pt]"
"79",10,"Chile","FW","Yanara Aedo",1993-08-05,25,19,9,"Valencia"
"80",11,"Chile","MF","Yessenia López",1990-10-20,28,20,3,"Sporting Huelva"
"81",12,"Chile","GK","Natalia Campos",1992-01-12,27,3,0,"Universidad Católica"
"82",13,"Chile","FW","Javiera Grez",2000-07-11,18,9,1,"Curicó Unido"
"83",14,"Chile","MF","Daniela Pardo",1988-09-05,30,5,0,"Santiago Morning"
"84",15,"Chile","DF","Su Helen Galaz",1991-05-27,28,10,0,"Zaragoza"
"85",16,"Chile","MF","Ana Gutiérrez",1996-06-20,22,4,0,"Cáceres"
"86",17,"Chile","DF","Javiera Toro",1998-04-22,21,3,0,"Santiago Morning"
"87",18,"Chile","DF","Camila Sáez",1994-10-17,24,20,3,"Rayo Vallecano"
"88",19,"Chile","FW","Yessenia Huenteo",1992-10-30,26,15,1,"Cáceres"
"89",20,"Chile","FW","Daniela Zamora",1990-11-13,28,10,0,"Universidad de Chile"
"90",21,"Chile","FW","Rosario Balmaceda",1999-03-23,20,3,0,"Colo-Colo"
"91",22,"Chile","MF","Elisa Durán ",2002-01-16,17,0,0,"Colo-Colo"
"92",23,"Chile","GK","Ryann Torrero ",1990-09-01,28,0,0,"Unattached"
"93",1,"New Zealand","GK","Erin Nayler",1992-04-17,27,61,0,"Bordeaux"
"94",2,"New Zealand","MF","Ria Percival",1989-12-07,29,139,14,"West Ham United"
"95",3,"New Zealand","DF","Anna Green",1990-08-20,28,72,7,"Miramar Rangers"
"96",4,"New Zealand","DF","CJ Bott",1995-04-22,24,16,1,"Vittsjö"
"97",5,"New Zealand","DF","Meikayla Moore",1996-06-04,23,35,3,"MSV Duisburg"
"98",6,"New Zealand","DF","Rebekah Stott",1993-06-17,25,71,4,"Avaldsnes"
"99",7,"New Zealand","DF","Ali Riley",1987-10-30,31,123,1,"Chelsea"
"100",8,"New Zealand","DF","Abby Erceg",1989-11-20,29,135,6,"North Carolina Courage"
"101",9,"New Zealand","FW","Emma Kete",1987-09-01,31,50,3,"Unattached"
"102",10,"New Zealand","MF","Annalie Longo",1991-07-01,27,113,15,"Unattached"
"103",11,"New Zealand","FW","Sarah Gregorius",1987-08-06,31,91,33,"Miramar Rangers"
"104",12,"New Zealand","MF","Betsy Hassett",1990-08-04,28,111,13,"KR Reykjavik"
"105",13,"New Zealand","FW","Rosie White",1993-06-06,26,99,24,"Unattached"
"106",14,"New Zealand","MF","Katie Bowen",1994-04-15,25,59,3,"Utah Royals"
"107",15,"New Zealand","DF","Sarah Morton",1998-08-28,20,6,1,"Western Springs"
"108",16,"New Zealand","MF","Katie Duncan",1988-02-01,31,122,1,"Onehunga Sports"
"109",17,"New Zealand","FW","Hannah Wilkinson",1992-05-28,27,87,25,"Unattached"
"110",18,"New Zealand","DF","Stephanie Skilton",1994-10-27,24,9,0,"Papakura City"
"111",19,"New Zealand","FW","Paige Satchell",1998-04-13,21,11,1,"Three Kings United"
"112",20,"New Zealand","MF","Daisy Cleverley",1997-04-30,22,8,2,"California Golden Bears"
"113",21,"New Zealand","GK","Victoria Esson",1991-03-06,28,3,0,"Avaldsnes"
"114",22,"New Zealand","MF","Olivia Chance",1993-10-05,25,11,0,"Everton"
"115",23,"New Zealand","GK","Nadia Olla",2000-02-07,19,1,0,"Western Springs"
"116",1,"Netherlands","GK","Sari van Veenendaal",1990-04-03,29,52,0,"Arsenal"
"117",2,"Netherlands","DF","Desiree van Lunteren",1992-12-30,26,70,0,"SC Freiburg"
"118",3,"Netherlands","DF","Stefanie van der Gragt",1992-08-16,26,55,7,"Barcelona"
"119",4,"Netherlands","DF","Merel van Dongen",1993-02-11,26,26,1,"Real Betis"
"120",5,"Netherlands","DF","Kika van Es",1991-10-11,27,57,0,"Ajax"
"121",6,"Netherlands","DF","Anouk Dekker",1986-11-15,32,77,6,"Montpellier"
"122",7,"Netherlands","FW","Shanice van de Sanden",1992-10-02,26,63,15,"Lyon"
"123",8,"Netherlands","MF","Sherida Spitse",1990-05-29,29,161,30,"Vålerenga"
"124",9,"Netherlands","FW","Vivianne Miedema",1996-07-15,22,74,57,"Arsenal"
"125",10,"Netherlands","MF","Daniëlle van de Donk",1991-08-05,27,88,16,"Arsenal"
"126",11,"Netherlands","FW","Lieke Martens",1992-12-16,26,102,42,"Barcelona"
"127",12,"Netherlands","MF","Victoria Pelova ",1999-06-03,20,3,0,"ADO Den Haag"
"128",13,"Netherlands","FW","Renate Jansen",1990-12-07,28,35,3,"Twente"
"129",14,"Netherlands","MF","Jackie Groenen",1994-12-17,24,45,2,"1. FFC Frankfurt"
"130",15,"Netherlands","MF","Inessa Kaagman",1996-04-17,23,2,0,"Everton"
"131",16,"Netherlands","GK","Lize Kop ",1998-03-17,21,1,0,"Ajax"
"132",17,"Netherlands","FW","Ellen Jansen",1992-10-06,26,14,1,"Ajax"
"133",18,"Netherlands","DF","Danique Kerkdijk",1996-05-01,23,18,0,"Bristol City"
"134",19,"Netherlands","MF","Jill Roord",1997-04-22,22,40,3,"Bayern Munich"
"135",20,"Netherlands","DF","Dominique Bloodworth",1995-01-17,24,46,0,"Arsenal"
"136",21,"Netherlands","FW","Lineth Beerensteyn",1996-10-11,22,39,9,"Bayern Munich"
"137",22,"Netherlands","DF","Liza van der Most",1993-10-08,25,13,0,"Ajax"
"138",23,"Netherlands","GK","Loes Geurts",1986-01-12,33,123,0,"Kopparbergs/Göteborg"
"139",1,"Canada","GK","Stephanie Labbé",1986-10-10,32,61,0,"North Carolina Courage"
"140",2,"Canada","DF","Allysha Chapman",1989-01-25,30,64,1,"Houston Dash"
"141",3,"Canada","DF","Kadeisha Buchanan",1995-11-05,23,88,3,"Lyon"
"142",4,"Canada","DF","Shelina Zadorsky",1992-08-24,26,52,1,"Orlando Pride"
"143",5,"Canada","DF","Rebecca Quinn",1995-08-11,23,48,5,"Paris FC"
"144",6,"Canada","FW","Deanne Rose",1999-03-03,20,40,8,"Florida Gators"
"145",7,"Canada","MF","Julia Grosso",2000-08-29,18,16,0,"Texas Longhorns"
"146",8,"Canada","DF","Jayde Riviere",2001-01-22,18,5,0,"Vancouver Whitecaps"
"147",9,"Canada","FW","Jordyn Huitema",2001-05-08,18,21,6,"Vancouver Whitecaps"
"148",10,"Canada","DF","Ashley Lawrence",1995-06-11,23,76,5,"Paris Saint-Germain"
"149",11,"Canada","MF","Desiree Scott",1987-07-31,31,143,0,"Utah Royals"
"150",12,"Canada","FW","Christine Sinclair",1983-06-12,35,282,181,"Portland Thorns"
"151",13,"Canada","MF","Sophie Schmidt",1988-06-28,30,184,19,"Houston Dash"
"152",14,"Canada","MF","Gabrielle Carle",1998-10-12,20,13,1,"Florida State Seminoles"
"153",15,"Canada","FW","Nichelle Prince",1995-02-19,24,50,10,"Houston Dash"
"154",16,"Canada","FW","Janine Beckie",1994-08-20,24,56,25,"Manchester City"
"155",17,"Canada","MF","Jessie Fleming",1998-03-11,21,65,8,"UCLA Bruins"
"156",18,"Canada","GK","Kailen Sheridan",1995-07-16,23,7,0,"Sky Blue FC"
"157",19,"Canada","FW","Adriana Leon",1992-10-02,26,57,15,"West Ham United"
"158",20,"Canada","DF","Shannon Woeller",1990-01-31,29,20,0,"Eskilstuna United"
"159",21,"Canada","GK","Sabrina D'Angelo",1993-05-11,26,6,0,"Vittsjö"
"160",22,"Canada","DF","Lindsay Agnew",1995-03-31,24,11,0,"Houston Dash"
"161",23,"Canada","DF","Jenna Hellstrom",1995-04-02,24,4,0,"KIF Örebro"
"162",1,"Cameroon","GK","Annette Ngo Ndom",1985-06-03,34,50,0,"Amazone FAP"
"163",2,"Cameroon","DF","Christine Manie",1984-05-04,35,63,10,"Nancy"
"164",3,"Cameroon","FW","Ajara Nchout",1993-01-12,26,49,5,"Vålerenga"
"165",4,"Cameroon","DF","Yvonne Leuko",1991-11-20,27,29,0,"Strasbourg"
"166",5,"Cameroon","DF","Augustine Ejangue",1989-01-19,30,62,0,"Arna-Bjørnar"
"167",6,"Cameroon","DF","Estelle Johnson",1988-07-21,30,NA,NA,"Sky Blue FC"
"168",7,"Cameroon","FW","Gabrielle Aboudi Onguéné",1989-02-25,30,58,17,"CSKA Moscow"
"169",8,"Cameroon","MF","Raissa Feudjio",1995-09-29,23,60,1,"Granadilla"
"170",9,"Cameroon","FW","Madeleine Ngono Mani",1983-10-16,35,128,49,"Ambilly [fr]"
"171",10,"Cameroon","MF","Jeannette Yango",1993-06-12,25,38,1,"Saint-Malo"
"172",11,"Cameroon","DF","Aurelle Awona",1993-02-02,26,4,0,"Dijon"
"173",12,"Cameroon","DF","Claudine Meffometou",1990-07-01,28,31,1,"Guingamp"
"174",13,"Cameroon","MF","Charlène Menene ",1998-11-19,20,NA,NA,"Louves Miniproff [de]"
"175",14,"Cameroon","MF","Ninon Abena",1994-09-05,24,NA,NA,"Louves Miniproff [de]"
"176",15,"Cameroon","DF","Ysis Sonkeng",1989-09-20,29,NA,NA,"Amazone FAP"
"177",16,"Cameroon","GK","Isabelle Mambingo",1991-04-10,28,NA,NA,"Sunshine Queens"
"178",17,"Cameroon","FW","Gaëlle Enganamouit",1992-06-09,26,43,5,"Unattached"
"179",18,"Cameroon","FW","Henriette Akaba",1992-06-07,27,38,0,"Besiktas"
"180",19,"Cameroon","MF","Marlyse Ngo Ndoumbouk",1985-01-03,34,NA,NA,"Nancy"
"181",20,"Cameroon","MF","Genevieve Ngo Mbeleck",1993-03-10,26,14,1,"Amazone FAP"
"182",21,"Cameroon","FW","Alexanda Takounda",2000-07-07,18,NA,NA,"Eclair"
"183",22,"Cameroon","FW","Michaela Abam",1997-06-13,21,NA,NA,"Paris FC"
"184",23,"Cameroon","GK","Marthe Ongmahan",1992-06-12,26,0,0,"AWA Yaoundé"
"185",1,"Scotland","GK","Lee Alexander",1991-09-23,27,16,0,"Glasgow City"
"186",2,"Scotland","DF","Kirsty Smith",1994-01-06,25,34,0,"Manchester United"
"187",3,"Scotland","DF","Nicola Docherty",1992-08-23,26,18,0,"Glasgow City"
"188",4,"Scotland","DF","Rachel Corsie",1989-08-17,29,108,16,"Utah Royals"
"189",5,"Scotland","DF","Jennifer Beattie",1991-05-13,28,123,22,"Manchester City"
"190",6,"Scotland","MF","Joanne Love",1985-12-06,33,191,13,"Glasgow City"
"191",7,"Scotland","DF","Hayley Lauder",1990-06-04,29,98,9,"Glasgow City"
"192",8,"Scotland","MF","Kim Little",1990-06-29,28,132,53,"Arsenal"
"193",9,"Scotland","MF","Caroline Weir",1995-06-20,23,62,7,"Manchester City"
"194",10,"Scotland","MF","Leanne Crichton",1987-08-06,31,63,3,"Glasgow City"
"195",11,"Scotland","FW","Lisa Evans",1992-05-21,27,77,17,"Arsenal"
"196",12,"Scotland","GK","Shannon Lynn",1985-10-22,33,30,0,"Vittsjö"
"197",13,"Scotland","FW","Jane Ross",1989-09-18,29,126,58,"West Ham United"
"198",14,"Scotland","DF","Chloe Arthur",1995-01-21,24,19,0,"Birmingham City"
"199",15,"Scotland","DF","Sophie Howard",1993-09-17,25,13,0,"Reading"
"200",16,"Scotland","MF","Christie Murray",1990-05-03,29,60,4,"Liverpool"
"201",17,"Scotland","DF","Joelle Murray",1986-11-07,32,48,1,"Hibernian"
"202",18,"Scotland","FW","Claire Emslie",1994-03-08,25,20,3,"Manchester City"
"203",19,"Scotland","FW","Lana Clelland",1993-01-26,26,24,3,"Fiorentina"
"204",20,"Scotland","FW","Fiona Brown",1995-03-31,24,37,2,"Rosengård"
"205",21,"Scotland","GK","Jenna Fife",1995-12-01,23,4,0,"Hibernian"
"206",22,"Scotland","FW","Erin Cuthbert",1998-07-19,20,29,9,"Chelsea"
"207",23,"Scotland","MF","Lizzie Arnot",1996-03-01,23,25,2,"Manchester United"
"208",1,"Japan","GK","Sakiko Ikeda",1992-09-08,26,14,0,"Urawa Red Diamonds"
"209",2,"Japan","DF","Rumi Utsugi",1988-12-05,30,112,6,"Reign FC"
"210",3,"Japan","DF","Aya Sameshima",1987-06-16,31,108,5,"INAC Kobe Leonessa"
"211",4,"Japan","DF","Saki Kumagai",1990-10-17,28,103,0,"Lyon"
"212",5,"Japan","DF","Nana Ichise",1997-08-04,21,15,0,"Vegalta Sendai"
"213",6,"Japan","MF","Hina Sugita",1997-01-31,22,6,0,"INAC Kobe Leonessa"
"214",7,"Japan","MF","Emi Nakajima",1990-09-27,28,69,14,"INAC Kobe Leonessa"
"215",8,"Japan","FW","Mana Iwabuchi",1993-03-18,26,61,20,"INAC Kobe Leonessa"
"216",9,"Japan","FW","Yuika Sugasawa",1990-10-05,28,62,17,"Urawa Red Diamonds"
"217",10,"Japan","MF","Mizuho Sakaguchi",1987-10-15,31,124,29,"Nippon TV Beleza"
"218",11,"Japan","FW","Rikako Kobayashi",1997-07-21,21,5,2,"Nippon TV Beleza"
"219",12,"Japan","DF","Moeka Minami",1998-12-07,20,4,0,"Urawa Red Diamonds"
"220",13,"Japan","FW","Riko Ueki",1999-07-30,19,2,0,"Nippon TV Beleza"
"221",14,"Japan","MF","Yui Hasegawa",1997-01-29,22,35,6,"Nippon TV Beleza"
"222",15,"Japan","MF","Yuka Momiki",1996-04-09,23,24,8,"Nippon TV Beleza"
"223",16,"Japan","DF","Asato Miyagawa",1998-02-24,21,4,0,"Nippon TV Beleza"
"224",17,"Japan","MF","Narumi Miura",1997-07-03,21,8,0,"Nippon TV Beleza"
"225",18,"Japan","GK","Ayaka Yamashita",1995-09-29,23,26,0,"Nippon TV Beleza"
"226",19,"Japan","FW","Jun Endo",2000-05-24,19,4,0,"Nippon TV Beleza"
"227",20,"Japan","FW","Kumi Yokoyama",1993-08-13,25,40,17,"AC Nagano Parceiro"
"228",21,"Japan","GK","Chika Hirao",1996-12-31,22,2,0,"Albirex Niigata"
"229",22,"Japan","DF","Risa Shimizu",1996-06-15,22,23,0,"Nippon TV Beleza"
"230",23,"Japan","DF","Shiori Miyake",1995-10-13,23,17,0,"INAC Kobe Leonessa"
"231",1,"England","GK","Karen Bardsley",1984-10-14,34,75,0,"Manchester City"
"232",2,"England","DF","Lucy Bronze",1991-10-28,27,66,7,"Lyon"
"233",3,"England","DF","Alex Greenwood",1993-09-07,25,35,2,"Manchester United"
"234",4,"England","MF","Keira Walsh",1997-04-08,22,14,0,"Manchester City"
"235",5,"England","DF","Steph Houghton",1988-04-23,31,104,12,"Manchester City"
"236",6,"England","DF","Millie Bright",1993-08-21,25,26,0,"Chelsea"
"237",7,"England","FW","Nikita Parris",1994-03-10,25,32,11,"Manchester City"
"238",8,"England","MF","Jill Scott",1987-02-02,32,134,22,"Manchester City"
"239",9,"England","FW","Jodie Taylor",1986-05-17,33,39,17,"Reign FC"
"240",10,"England","FW","Fran Kirby",1993-06-29,25,37,12,"Chelsea"
"241",11,"England","FW","Toni Duggan",1991-07-25,27,71,22,"Barcelona"
"242",12,"England","DF","Demi Stokes",1991-12-12,27,49,1,"Manchester City"
"243",13,"England","GK","Carly Telford",1987-07-07,31,16,0,"Chelsea"
"244",14,"England","DF","Leah Williamson",1997-03-29,22,6,0,"Arsenal"
"245",15,"England","DF","Abbie McManus",1993-01-14,26,12,0,"Manchester City"
"246",16,"England","MF","Jade Moore",1990-10-22,28,45,1,"Reading"
"247",17,"England","DF","Rachel Daly",1991-12-06,27,21,3,"Houston Dash"
"248",18,"England","FW","Ellen White",1989-05-09,30,80,28,"Birmingham City"
"249",19,"England","MF","Georgia Stanway",1999-01-03,20,6,1,"Manchester City"
"250",20,"England","MF","Karen Carney",1987-08-01,31,138,32,"Chelsea"
"251",21,"England","GK","Mary Earps",1993-03-07,26,5,0,"VfL Wolfsburg"
"252",22,"England","FW","Beth Mead",1995-05-09,24,12,5,"Arsenal"
"253",23,"England","MF","Lucy Staniforth",1992-10-02,26,8,2,"Birmingham City"
"254",1,"Argentina","GK","Vanina Correa",1983-08-14,35,31,0,"Rosario Central"
"255",2,"Argentina","DF","Agustina Barroso",1993-05-20,26,36,0,"Madrid CFF"
"256",3,"Argentina","DF","Eliana Stábile",1993-11-26,25,13,2,"Boca Juniors"
"257",4,"Argentina","DF","Adriana Sachs",1993-12-25,25,24,0,"UAI Urquiza"
"258",5,"Argentina","MF","Vanesa Santana",1990-09-03,28,31,0,"Logroño"
"259",6,"Argentina","DF","Aldana Cometti",1996-03-03,23,32,3,"Sevilla"
"260",7,"Argentina","FW","Yael Oviedo",1992-05-22,27,24,2,"Rayo Vallecano"
"261",8,"Argentina","MF","Ruth Bravo",1992-03-06,27,18,1,"Tacón"
"262",9,"Argentina","FW","Sole Jaimes",1989-01-20,30,21,5,"Lyon"
"263",10,"Argentina","MF","Estefanía Banini",1990-06-21,28,32,9,"Levante"
"264",11,"Argentina","MF","Florencia Bonsegundo",1993-07-14,25,34,10,"Sporting Huelva"
"265",12,"Argentina","GK","Gabriela Garton ",1990-05-27,29,2,0,"Unattached"
"266",13,"Argentina","DF","Virginia Gómez",1991-02-26,28,8,0,"Rosario Central"
"267",14,"Argentina","MF","Miriam Mayorga",1989-11-20,29,9,0,"UAI Urquiza"
"268",15,"Argentina","FW","Belén Potassa",1988-12-12,30,28,7,"UAI Urquiza"
"269",16,"Argentina","MF","Lorena Benítez",1998-12-03,20,2,0,"Boca Juniors"
"270",17,"Argentina","MF","Mariela Coronel",1981-06-20,37,34,2,"Granada"
"271",18,"Argentina","DF","Gabriela Chávez",1989-04-09,30,18,0,"River Plate"
"272",19,"Argentina","MF","Mariana Larroquette",1992-10-24,26,36,8,"UAI Urquiza"
"273",20,"Argentina","MF","Dalila Ippólito",2002-03-24,17,1,0,"River Plate"
"274",21,"Argentina","DF","Natalie Juncos",1990-12-28,28,6,0,"Unattached"
"275",22,"Argentina","FW","Milagros Menéndez ",1997-03-23,22,3,0,"UAI Urquiza"
"276",23,"Argentina","GK","Solana Pereyra",1999-04-05,20,0,0,"UAI Urquiza"
